"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","estrato_disenno","segmento_disenno","ponderador02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
4101023,1,1,1,1,1,1,1,1,4,410102,0.952785611152649,1,1,1,1,1,"3"
4101032,2,1,2,1,1,1,1,1,4,410103,0.952785611152649,1,1,1,1,1,"3"
4101034,2,2,2,1,1,1,1,1,4,410103,1.03169298171997,1,1,1,1,1,"1"
4101042,2,2,1,1,1,1,3,1,4,410104,0.687795341014862,1,1,1,2,1,"4"
4101044,2,1,2,1,1,1,1,1,4,410104,0.687795341014862,1,1,1,1,1,"3"
4101053,1,1,2,1,1,1,1,2,4,410105,0.625268459320068,1,1,1,1,1,"3"
4101054,2,2,2,1,1,1,1,1,4,410105,1.732337474823,1,1,1,1,1,"1"
4101055,2,2,2,1,1,1,1,1,4,410105,0.833691358566284,1,1,1,1,1,"1"
4101057,1,2,1,1,1,1,1,1,4,410105,0.416845679283142,1,1,1,1,1,"1"
4101065,1,1,1,1,1,1,1,1,4,410106,3.20971179008484,1,1,1,1,1,"3"
4101071,1,2,1,1,1,1,1,1,4,410107,0.952785611152649,1,1,1,1,1,"1"
4101111,2,2,1,1,1,1,1,1,4,410111,0.635190427303314,1,1,1,1,1,"1"
4101113,2,2,2,1,1,1,1,1,4,410111,0.317595213651657,1,1,1,1,1,"1"
4101133,1,1,2,1,1,1,1,1,4,410113,7.05767202377319,1,1,1,1,1,"3"
4101134,2,2,2,1,2,1,1,1,4,410113,4.07582426071167,1,1,1,1,1,"1"
4101135,1,2,1,1,1,1,1,1,4,410113,7.05767202377319,1,1,1,1,1,"1"
4101141,1,2,2,1,1,1,2,1,4,410114,0.687795281410217,1,1,1,1,1,"1"
4101143,2,2,2,1,1,1,1,1,4,410114,0.635190367698669,1,1,1,1,1,"1"
4102051,2,2,2,1,1,3,2,1,4,410205,1.52843415737152,1,1,2,1,1,"1"
