"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
5109125,2,2,2,1,1,1,3,2,1,1,1,2,1,"1"
5109142,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109151,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109152,1,1,2,2,1,1,2,1,1,1,1,1,1,"3"
5109153,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109155,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5109176,2,2,2,4,3,2,4,1,2,2,1,2,1,"1"
5109178,1,2,1,2,2,2,3,1,1,1,1,2,1,"1"
5109202,1,2,2,1,1,1,2,2,1,1,1,1,1,"4"
5109203,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109226,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109227,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109241,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109242,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109254,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109255,2,2,2,1,1,1,2,1,1,1,1,1,1,"4"
5109261,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109282,1,1,2,1,1,1,2,2,1,1,1,1,1,"3"
5109284,2,2,2,1,1,2,1,1,1,1,1,1,1,"4"
5109285,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109286,2,2,2,1,2,1,2,1,1,1,1,1,1,"4"
5109293,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109294,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5109295,2,2,2,1,1,1,2,1,1,1,1,1,1,"4"
5109302,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109303,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5109305,1,2,2,2,1,3,4,1,1,1,2,2,1,"1"
5109314,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5109315,2,1,2,4,3,1,1,1,2,2,1,1,1,"1"
5109324,2,2,2,1,1,3,1,1,1,1,2,1,1,"4"
5109331,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109333,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109336,1,1,2,2,3,1,1,1,1,2,1,1,1,"3"
5109337,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5109341,1,1,2,1,1,1,3,1,1,1,1,2,1,"3"
5109342,1,1,2,2,1,1,1,1,1,1,1,1,1,"3"
5109343,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109344,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109345,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109346,1,2,2,1,1,2,3,1,1,1,1,2,1,"1"
5109354,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5109363,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109372,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109375,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109381,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109384,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109392,1,1,2,1,1,1,3,1,1,1,1,2,1,"3"
5109393,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109394,1,2,2,4,1,1,4,1,2,1,1,2,1,"1"
5109397,2,2,2,3,1,1,3,2,2,1,1,2,1,"1"
5402011,2,2,2,1,1,1,4,4,1,1,1,2,2,"1"
5402021,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5402023,2,1,1,1,2,2,1,1,1,1,1,1,1,"3"
5402032,2,2,2,1,1,1,3,3,1,1,1,2,2,"1"
5402041,2,2,2,1,1,2,1,1,1,1,1,1,1,"4"
5402051,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5402053,2,2,2,1,1,3,1,1,1,1,2,1,1,"4"
5402071,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5402073,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5402081,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5402101,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5402103,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5402111,2,1,1,2,1,1,3,1,1,1,1,2,1,"3"
5402113,1,1,1,2,1,1,1,1,1,1,1,1,1,"3"
5701032,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5701042,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5701043,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5701063,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5701122,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5701132,1,2,2,2,1,1,1,1,1,1,1,1,1,"4"
5701162,2,2,2,1,1,1,2,1,1,1,1,1,1,"4"
5701191,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5701192,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5701233,1,1,2,3,1,1,3,1,2,1,1,2,1,"1"
5801022,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
